,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Deoxidation,,,,,,,,,,,,,
,,,,,,,,,,,,,,Furnace,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Ladle,Furmace
,,,,,,,,,,,,,,Aluminium,Aluminium,Hypercal,Fe-Se,Ca-Si-Mn,Fe-Si-Zr,Fe-Ti7O,Fe-B,Aluminium,Mg-Fe-Si,Barinoc,Superseed,Fe-Ti7O,Iron Pyrite
Description,Code,C_Aim,Si_Aim,Mn_Aim,S_Aim,P_Aim,Cr_Aim,Ni_Aim,Mo_Aim,Cu_Aim,Al_Aim,V_Aim,Check,FA1240,FA1240,FA1364,FA1365,FA1190,FA1210,FA1180,FA1160,FA1240,FA1011,FA1070,FA1197,FA1180,
7Cr,072,0.3,0.7,1.2,0,0,7,0,0,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
41-43,073,0.43,0.4,0.85,0,0,1.2,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2M37,074,0.24,1.35,0.8,0,0,1.75,0.85,0.45,0,0,0,0,0.03,0.025,0,0,0.13,0.12,0,0,0,0,0,0,0,0
SD3526,075,0.21,0.5,1,0,0,1.1,1.7,0.4,0,0,0,0,0.02,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
10Cr,076,0.23,0.7,1.7,0,0,10,0,0,0,0,0,0,0.044,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
BKM-E,077,0.27,0.4,0.9,0,0,0.55,0.4,0.3,0,0,0,0,0.03,0.03,0,0,0.176,0.12,0,0,0,0,0,0,0,0
BKM-I,078,0.29,0.4,0.9,0,0,0.6,0.47,0.3,0,0,0,0,0.027,0.027,0,0,0.192,0.12,0,0,0,0,0,0,0,0
CT079,079,0.2,0.4,1,0,0,0.8,0.9,0.5,0,0,0,0,0.03,0.03,0,0,0.176,0.12,0,0,0,0,0,0,0,0
1E1074,080,0.23,0.5,1.1,0,0,0.6,0.55,0.33,0,0,0,0,0.036,0.036,0,0,0.13,0.12,0,0,0,0,0,0,0,0
Auste,081,1.15,0.6,13,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Auste 2Cr,082,1.15,0.6,13.3,0,0,1.8,0,0,0,0,0,0,0,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Auste Spec.,083,1.1,0.5,14,0,0,0,0,0,0,0,0,0,0.044,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Auste Mo,084,1.1,0.5,14,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alloy 14PH-7C,085,1.15,0.5,13.2,0,0,0,0,0.87,0,0,0,0,0.044,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Auste 12-2,086,1.15,0.5,13,0,0,0,0,1.95,0,0,0,0,0,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Alloy 14 RD2,087,1.15,0.5,12.5,0,0,0,0,0,0,0,0,0.045,0,0.036,0,0,0.176,0,0.1,0,0,0,0,0,0,0
13-1 Auste,088,1.17,0.55,13,0,0,0,0,1,0,0,0,0.04,0,0.036,0,0,0.176,0,0.064,0,0,0,0,0,0,0
CT089,089,1.17,0.55,13,0,0,0.65,0,0.7,0,0,0,0,0,0.036,0,0,0.176,0,0.064,0,0,0,0,0,0,0
Mn Grate Mod,090,1.17,0.5,13,0,0,1.9,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14E-1 Auste,091,1.03,0.75,12.8,0,0,0,0,0.95,0,0,0,0,0.044,0.036,0,0,0.176,0,0,0,0,0,0,0,0,0
Alloy 80,092,1.4,0.55,19.5,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0.176,0,0.064,0,0,0,0,0,0,0
